Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30
65208.076294166676,65967.79116666668,65237.02082666672,65389.07536666669,64614.50416000001,65922.85113166671,62435.6666666668,62774.4166666668,67086.24699999999,65887.79257666664,67821.70054166668,66801.461055,67468.42474666664,64540.66666666681,68372.35516666668,66853.91558916667,66184.21032416666,66999.94614,65654.51774999997,67291.66429166668,64958.66666666681,69127.45061999999,66360.81791666667,64193.409375000025,67920.84775666663,67265.91666666679,64543.590500000006,61134.916666666795,66146.35023666667,65885.1338666667
65208.076294166676,65967.79116666668,65237.02082666672,65389.07536666669,64614.50416000001,65922.85113166671,62435.6666666668,62001.18553333333,67086.24699999999,65887.79257666664,67821.70054166668,66801.461055,67468.42474666664,64540.66666666681,67425.25285333331,66853.91558916667,66184.21032416666,66999.94614,65654.51774999997,67291.66429166668,64958.66666666681,67434.80566666668,66360.81791666667,64193.409375000025,67920.84775666663,67265.91666666679,64543.590500000006,61134.916666666795,64452.41666666681,65885.1338666667
65208.076294166676,65967.79116666668,62627.9166666668,65389.07536666669,64614.50416000001,65922.85113166671,62435.6666666668,62001.18553333333,67086.24699999999,65887.79257666664,67821.70054166668,66801.461055,66991.85558999999,64540.66666666681,67425.25285333331,66853.91558916667,66184.21032416666,66999.94614,65654.51774999997,67291.66429166668,64958.66666666681,67434.80566666668,66360.81791666667,64193.409375000025,67920.84775666663,67265.91666666679,64543.590500000006,61134.916666666795,64452.41666666681,65885.1338666667
65208.076294166676,65967.79116666668,62627.9166666668,64257.12228666668,64614.50416000001,65055.41666666681,62435.6666666668,62001.18553333333,67086.24699999999,65887.79257666664,67425.35254166668,66801.461055,66991.85558999999,64540.66666666681,67362.36738666662,66853.91558916667,66184.21032416666,66999.94614,65654.51774999997,67291.66429166668,64958.66666666681,67434.80566666668,66360.81791666667,64193.409375000025,67920.84775666663,65497.41666666682,64371.35685416667,61134.916666666795,64452.41666666681,65885.1338666667
65208.076294166676,65967.79116666668,62627.9166666668,64257.12228666668,64614.50416000001,65055.41666666681,62435.6666666668,62001.18553333333,67086.24699999999,62722.16666666679,67241.97570000001,66801.461055,66991.85558999999,64540.66666666681,67362.36738666662,66853.91558916667,65525.544,66999.94614,65654.51774999997,67291.66429166668,64958.66666666681,67434.80566666668,66360.81791666667,64193.409375000025,67264.16666666677,65497.41666666682,64371.35685416667,61134.916666666795,64452.41666666681,65885.1338666667
65208.076294166676,65967.79116666668,62627.9166666668,64257.12228666668,64614.50416000001,65055.41666666681,62435.6666666668,62001.18553333333,67086.24699999999,62722.16666666679,67241.97570000001,66801.461055,66991.85558999999,64540.66666666681,67362.36738666662,66853.91558916667,65525.544,66290.99791666666,65654.51774999997,67790.73854166667,64958.66666666681,67434.80566666668,65410.66666666682,64193.409375000025,67264.16666666677,65497.41666666682,64371.35685416667,61134.916666666795,64452.41666666681,65885.1338666667
65208.076294166676,65967.79116666668,62627.9166666668,64257.12228666668,64614.50416000001,65055.41666666681,62435.6666666668,62001.18553333333,67086.24699999999,62722.16666666679,67241.97570000001,66801.461055,66991.85558999999,64540.66666666681,67362.36738666662,66853.91558916667,65525.544,66290.99791666666,65654.51774999997,67790.73854166667,63495.53025666666,67434.80566666668,65410.66666666682,64193.409375000025,67264.16666666677,65497.41666666682,64371.35685416667,61134.916666666795,62739.481676666685,65885.1338666667
65208.076294166676,65967.79116666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,62001.18553333333,66020.6635,62722.16666666679,67241.97570000001,66801.461055,66554.28634666667,64540.66666666681,67362.36738666662,66853.91558916667,65525.544,66290.99791666666,65654.51774999997,67228.70797999998,63495.53025666666,67434.80566666668,65410.66666666682,64193.409375000025,64866.28043999997,65497.41666666682,64371.35685416667,61134.916666666795,62739.481676666685,65885.1338666667
65208.076294166676,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,62001.18553333333,66020.6635,62722.16666666679,67241.97570000001,66801.461055,66554.28634666667,64540.66666666681,67362.36738666662,66213.43175999998,65525.544,66290.99791666666,65654.51774999997,67228.70797999998,63495.53025666666,67434.80566666668,65410.66666666682,64193.409375000025,64866.28043999997,65497.41666666682,64371.35685416667,61134.916666666795,62739.481676666685,65885.1338666667
65208.076294166676,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,62001.18553333333,66020.6635,62722.16666666679,67241.97570000001,66801.461055,66554.28634666667,64540.66666666681,67362.36738666662,66213.43175999998,65525.544,66290.99791666666,65654.51774999997,67228.70797999998,63495.53025666666,66073.01667916666,65410.66666666682,64193.409375000025,64866.28043999997,65497.41666666682,64371.35685416667,61134.916666666795,62739.481676666685,65885.1338666667
65208.076294166676,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,62001.18553333333,66020.6635,62722.16666666679,67241.97570000001,66801.461055,66554.28634666667,64540.66666666681,67362.36738666662,66213.43175999998,65525.544,65537.01371999996,65654.51774999997,67228.70797999998,63495.53025666666,66073.01667916666,65410.66666666682,64193.409375000025,64866.28043999997,65497.41666666682,64371.35685416667,61134.916666666795,62739.481676666685,65885.1338666667
65208.076294166676,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,60629.416666666795,66020.6635,62722.16666666679,67241.97570000001,66801.461055,66554.28634666667,64540.66666666681,67362.36738666662,66213.43175999998,64484.10627166666,65537.01371999996,65654.51774999997,67228.70797999998,63495.53025666666,64536.00374666668,64663.39437250001,64193.409375000025,64866.28043999997,65497.41666666682,64371.35685416667,61134.916666666795,62739.481676666685,65885.1338666667
65208.076294166676,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,60629.416666666795,66020.6635,62722.16666666679,67241.97570000001,66801.461055,66554.28634666667,64540.66666666681,67362.36738666662,66213.43175999998,64484.10627166666,65537.01371999996,65654.51774999997,67228.70797999998,63495.53025666666,64536.00374666668,64663.39437250001,64193.409375000025,64866.28043999997,63366.47946416666,64371.35685416667,64233.41666666681,62739.481676666685,65885.1338666667
65936.07050000002,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,60629.416666666795,66020.6635,62722.16666666679,67241.97570000001,66801.461055,66554.28634666667,64540.66666666681,66717.22922916668,62274.06950666665,64484.10627166666,65537.01371999996,65654.51774999997,67228.70797999998,63495.53025666666,64536.00374666668,64663.39437250001,64193.409375000025,64866.28043999997,63366.47946416666,64371.35685416667,64121.4166666668,62739.481676666685,65885.1338666667
65936.07050000002,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,60629.416666666795,66020.6635,62722.16666666679,65394.04235416669,66801.461055,66554.28634666667,64540.66666666681,66717.22922916668,62274.06950666665,64484.10627166666,65537.01371999996,65654.51774999997,67228.70797999998,63495.53025666666,64536.00374666668,64663.39437250001,64193.409375000025,64866.28043999997,63366.47946416666,64371.35685416667,64121.4166666668,62739.481676666685,65885.1338666667
65936.07050000002,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,60629.416666666795,66020.6635,62722.16666666679,65394.04235416669,66801.461055,66554.28634666667,64540.66666666681,66717.22922916668,62274.06950666665,64484.10627166666,65537.01371999996,65654.51774999997,67228.70797999998,63495.53025666666,64536.00374666668,64663.39437250001,64113.88966666668,61953.916666666795,63366.47946416666,64371.35685416667,64121.4166666668,62739.481676666685,65028.88679999998
65936.07050000002,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,60629.416666666795,66020.6635,62722.16666666679,65394.04235416669,65551.6666666668,66554.28634666667,65020.13997166667,66717.22922916668,62274.06950666665,64484.10627166666,65537.01371999996,65654.51774999997,67228.70797999998,63495.53025666666,64536.00374666668,64663.39437250001,64113.88966666668,61953.916666666795,63366.47946416666,64371.35685416667,64121.4166666668,62739.481676666685,65028.88679999998
65936.07050000002,64881.4166666668,62627.9166666668,64257.12228666668,64614.50416000001,64425.376,62435.6666666668,60629.416666666795,66020.6635,62722.16666666679,65394.04235416669,65551.6666666668,66554.28634666667,65020.13997166667,66214.1666666668,62274.06950666665,64484.10627166666,65537.01371999996,65654.51774999997,67228.70797999998,63495.53025666666,64536.00374666668,64663.39437250001,64113.88966666668,61953.916666666795,63366.47946416666,64371.35685416667,64121.4166666668,62739.481676666685,65028.88679999998
65936.07050000002,64881.4166666668,62627.9166666668,64257.12228666668,66394.37454166666,64425.376,62435.6666666668,60629.416666666795,66020.6635,62722.16666666679,65394.04235416669,65551.6666666668,66554.28634666667,65020.13997166667,66214.1666666668,62274.06950666665,64484.10627166666,65537.01371999996,65654.51774999997,66606.35534166667,63495.53025666666,64536.00374666668,64663.39437250001,64113.88966666668,61953.916666666795,63366.47946416666,64371.35685416667,63159.451706666674,62739.481676666685,65028.88679999998
65413.69097916667,64881.4166666668,62627.9166666668,64257.12228666668,66394.37454166666,64425.376,62435.6666666668,60629.416666666795,65899.45266666666,62722.16666666679,65394.04235416669,65551.6666666668,66554.28634666667,63524.6666666668,66214.1666666668,62274.06950666665,64484.10627166666,65537.01371999996,65716.95304166667,66606.35534166667,63495.53025666666,64536.00374666668,63237.87367416665,64113.88966666668,61953.916666666795,63366.47946416666,64371.35685416667,63159.451706666674,62739.481676666685,65028.88679999998
